p1 p2 p3
-0.742 0.998 1
-0.239 1.822 0
-0.783 1.783 0
0.894 1.374 0
0.283 1.973 1
-0.236 1.516 1
1.272 1.160 1
0.965 1.952 1
0.888 0.492 0
1.644 1.606 0
0.057 0.006 0
0.839 -0.039 1
0.259 0.962 0
1.808 0.387 1
0.866 1.173 0
1.367 0.477 1
1.469 1.345 1
-0.781 -0.621 0
0.218 1.402 0
0.290 1.129 1
0.149 1.827 1
1.062 1.987 0
-0.479 0.989 0
1.905 0.768 1
-0.851 0.481 1
0.411 -0.824 0
-0.263 0.452 1
1.729 1.136 0
1.211 -0.061 0
0.896 -0.870 1
1.052 -0.800 0
0.171 1.528 0
0.631 1.050 1
1.369 1.923 1
1.540 -0.806 0
0.193 1.463 1
0.928 1.557 1
0.570 0.186 0
0.831 1.620 1
0.980 -0.650 0
1.509 -0.246 1
0.795 -0.230 0
-0.224 -0.448 1
-0.393 -0.851 0
1.336 0.162 1
1.564 0.415 1
-0.884 -0.379 1
0.703 1.048 1
1.596 0.187 1
1.284 -0.582 0
0.147 0.677 0
1.120 0.119 0
1.361 -0.207 1
0.917 0.298 0
1.388 1.461 0
0.599 1.993 0
1.263 1.163 1
0.649 -0.538 0
0.246 1.270 1
-0.564 1.521 0
0.152 1.374 0
1.553 1.873 1
-0.315 -0.378 0
1.149 -0.556 0
-0.230 -0.947 0
0.260 -0.284 0
1.889 0.925 1
-0.854 0.059 1
-0.588 0.053 0
0.622 1.065 1
0.933 0.141 0
1.391 1.883 0
1.598 1.115 1
0.378 0.550 1
1.445 0.457 1
0.067 -0.675 0
1.734 -0.465 1
0.826 0.023 0
0.279 -0.055 0
0.249 1.347 1
0.784 1.832 1
0.484 1.224 0
0.174 1.235 1
-0.432 1.134 1
1.932 1.413 1
-0.241 0.449 1
1.428 -0.820 1
-0.126 1.761 0
0.254 0.240 1
1.614 0.218 1
1.558 0.520 0
-0.092 1.857 1
1.377 -0.500 0
-0.765 1.938 0
-0.028 0.551 0
1.967 1.274 0
0.156 1.266 1
1.695 0.571 1
1.633 0.792 0
-0.431 -0.247 0
0.329 0.167 0
1.625 -0.697 0
1.726 1.650 1
0.122 0.590 1
0.193 1.057 1
1.875 -0.793 1
-0.675 0.089 0
1.588 1.303 1
1.268 -0.326 1
-0.813 -0.085 1
1.060 1.293 0
1.153 1.301 1
0.959 1.316 1
-0.143 -0.724 1
-0.218 -0.663 1
-0.109 -0.455 0
-0.769 -0.498 1
1.404 1.033 0
0.233 1.849 0
0.432 0.221 1
1.269 1.638 1
0.235 0.480 1
1.709 -0.317 1
0.627 -0.596 0
1.146 -0.312 0
1.312 -0.862 1
0.728 1.579 1
1.217 0.722 1
0.492 -0.164 1
-0.178 0.413 0
1.697 1.832 1
0.498 0.028 1
-0.841 0.158 0
0.838 1.269 1
-0.420 0.962 1
-0.011 -0.938 0
-0.112 0.282 0
1.989 0.889 0
0.562 1.376 1
0.097 0.121 1
-0.026 1.060 1
-0.872 -0.650 0
-0.283 -0.963 0
0.786 -0.277 1
-0.062 0.233 0
-0.004 1.279 1
-0.326 1.130 0
1.240 -0.724 1
-0.815 -0.902 1
0.888 0.529 0
1.285 0.729 0
1.534 -0.258 1
-0.321 -0.828 0
1.324 -0.159 0
-0.708 1.464 1
0.296 1.308 0
-0.395 0.864 0
-0.290 -0.488 1
0.990 -0.814 1
0.380 -0.954 1
1.038 1.136 0
0.010 0.058 1
1.898 1.637 0
1.525 1.586 0
1.606 -0.827 1
-0.592 0.889 0
-0.577 -0.887 0
1.029 0.781 1
0.162 1.050 1
1.980 0.966 1
-0.472 0.132 0
-0.591 0.371 1
1.446 -0.604 1
1.353 1.476 1
1.399 0.101 0
-0.927 1.652 0
1.755 0.063 0
1.382 1.492 1
-0.891 -0.016 0
1.984 0.143 1
0.608 -0.208 0
-0.195 1.643 0
0.288 -0.034 0
0.327 -0.748 1
-0.590 1.879 1
0.919 0.783 0
1.789 1.121 0
-0.824 1.940 0
-0.873 0.842 0
0.244 0.650 1
0.351 0.078 1
-0.839 1.394 1
-0.058 -0.911 1
1.186 0.543 0
-0.729 0.690 0
-0.867 0.688 1
-0.070 1.583 0
0.707 -0.022 0
-0.932 0.696 1
0.834 1.450 1
1.720 0.510 1
0.995 0.364 0
-0.852 1.394 1
0.560 0.534 1
0.165 0.942 0
-0.878 -0.336 1
1.476 1.302 0
0.829 0.680 0
-0.995 0.510 0
-0.282 1.062 1
1.235 0.827 0
0.048 -0.817 1
-0.464 1.066 1
-0.365 -0.366 1
0.501 -0.068 0
-0.819 -0.437 0
0.277 1.351 1
1.614 1.008 0
-0.097 0.803 1
1.413 1.227 0
1.636 0.660 1
-0.050 0.036 0
1.292 0.513 0
1.818 0.138 0
0.575 1.512 0
1.164 0.459 1
0.410 0.692 0
0.025 0.481 1
-0.721 -0.685 1
1.661 0.574 0
-0.448 1.193 0
-0.114 1.330 0
0.822 1.031 1
0.405 1.898 1
1.237 1.755 0
-0.857 0.315 1
0.835 0.846 1
1.581 1.840 0
0.874 -0.325 0
-0.909 -0.713 0
-0.831 -0.166 0
1.264 0.362 1
-0.577 1.472 0
1.249 -0.012 0
1.564 0.625 1
0.082 -0.351 1
0.072 0.552 1
0.024 1.714 1
-0.683 1.069 1
-0.112 -0.224 0
0.893 1.880 1
1.379 0.983 0
1.947 1.909 0
-0.578 -0.628 0
1.517 0.639 0
1.500 -0.798 0
-0.139 1.441 1
0.981 1.289 0
-0.205 1.905 0
0.460 0.336 0
1.022 1.182 1
1.084 -0.732 1
-0.532 0.307 0
-0.111 1.567 0
0.615 1.540 0
1.136 -0.395 1
1.833 0.696 1
-0.360 0.972 1
0.714 -0.521 0
-0.897 -0.182 1
-0.593 1.814 1
-0.548 1.179 1
1.949 0.183 0
1.168 -0.685 0
1.599 -0.044 1
-0.378 0.041 0
0.172 0.726 0
-0.594 0.059 1
-0.629 0.642 0
0.669 1.297 1
0.123 -0.261 1
-0.553 0.236 0
0.908 -0.722 0
1.999 0.245 0
1.098 0.073 0
-0.859 1.918 0
0.285 -0.172 1
-0.423 1.403 0
-0.383 1.468 0
-0.769 -0.264 1
-0.869 -0.524 1
0.586 -0.822 0
0.087 1.222 1
1.012 1.542 0
0.298 -0.703 0
1.102 -0.467 1
0.470 -0.148 1
0.004 0.077 0
0.527 1.921 0
1.754 1.654 1
0.952 -0.234 0
-0.388 0.636 0
0.114 -0.801 0
1.393 -0.386 1
-0.394 -0.074 0
-0.199 -0.262 0
-0.423 0.873 1
1.761 1.044 1
-0.936 1.519 1
-0.245 1.791 0
1.325 -0.763 0
-0.847 -0.206 0
0.175 0.618 1
-0.452 1.757 1
1.319 1.812 0
-0.912 1.606 0
0.682 0.853 1
0.811 -0.178 0
0.745 0.003 0
-0.025 0.776 0
1.879 1.076 1
0.395 0.060 0
1.677 -0.225 0
-0.226 0.823 0
-0.713 0.027 1
1.040 -0.899 1
1.746 0.313 1
1.673 1.153 1
-0.688 0.003 1
0.043 0.796 0
-0.198 1.690 0
0.744 0.731 1
1.918 0.521 1
0.923 -0.115 0
0.586 -0.464 1
-0.382 0.740 1
0.288 -0.009 0
0.087 0.667 0
0.395 -0.297 1
-0.854 0.256 1
0.499 -0.626 1
-0.502 1.658 1
1.747 1.931 0
0.069 -0.092 1
1.178 1.856 0
0.341 0.266 0
0.050 0.518 1
0.684 1.547 1
-0.822 -0.489 1
1.690 -0.545 1
-0.734 1.981 0
-0.492 0.915 0
0.240 0.968 0
1.175 1.409 0
-0.418 -0.271 0
-0.050 0.307 0
1.660 1.079 1
0.648 0.202 1
-0.930 1.723 1
1.972 -0.757 1
0.957 0.586 0
1.849 0.465 1
0.360 0.149 1
1.759 -0.871 1
0.538 0.784 1
1.074 -0.951 1
1.305 0.082 0
-0.614 0.929 1
-0.635 0.191 0
0.843 1.694 1
-0.355 -0.850 0
-0.518 1.827 0
1.625 -0.784 1
-0.437 -0.302 0
-0.324 -0.794 0
1.899 -0.102 1
0.391 0.822 1
1.196 -0.422 1
-0.083 1.990 0
0.378 0.772 1
-0.708 1.192 0
-0.072 0.742 0
0.775 0.799 0
1.215 -0.700 0
0.182 0.403 1
-0.168 -0.848 0
-0.786 1.151 0
1.928 -0.776 1
1.799 0.082 0
0.540 1.995 1
0.418 1.454 1
1.926 1.838 1
0.441 0.082 0
-0.099 -0.656 0
1.462 -0.329 1
0.170 -0.337 0
1.627 0.145 0
1.658 0.829 0
0.974 1.986 1
0.846 -0.896 1
0.763 0.565 1
1.105 -0.698 1
1.808 0.474 0
0.029 0.126 0
1.813 1.861 0
-0.237 -0.497 0
0.704 0.764 0
1.347 1.914 1
1.961 0.442 0
1.038 0.729 1
0.957 0.709 1
0.653 1.541 0
-0.717 1.269 1
1.894 -0.502 0
0.087 1.049 0
-0.313 0.637 1
-0.593 -0.471 0
1.514 0.217 0
0.501 0.080 1
0.746 -0.946 0
0.185 0.295 0
-0.025 0.850 1
1.162 -0.679 0
0.348 -0.468 1
-0.642 1.196 0
1.904 1.582 1
0.255 -0.820 1
-0.099 -0.631 0
1.223 1.086 0
1.154 0.487 1
-0.146 -0.382 1
0.367 -0.918 1
1.297 1.703 1
0.466 0.194 1
0.589 -0.178 0
1.933 1.080 0
-0.011 -0.654 1
0.137 1.555 0
1.311 -0.134 0
-0.329 1.324 0
0.261 -0.469 0
0.683 -0.688 0
0.762 1.379 1
-0.789 1.000 1
1.298 0.667 0
1.514 0.760 1
1.238 1.212 1
1.406 -0.817 1
0.175 0.717 0
1.591 1.417 0
-0.743 -0.892 1
0.996 -0.499 0
1.521 -0.134 0
-0.899 1.692 0
-0.774 1.361 0
-0.723 0.807 1
-0.812 -0.813 0
-0.883 1.548 1
-0.891 -0.509 0
0.768 1.841 1
1.917 1.311 0
-0.732 0.169 1
-0.909 1.905 0
-0.123 1.900 0
1.004 1.089 0
1.408 0.629 1
0.246 1.566 1
-0.435 0.502 1
-0.033 -0.738 0
1.275 1.558 0
-0.797 -0.341 1
-0.981 -0.945 1
1.214 0.127 1
1.168 -0.192 1
-0.185 1.258 0
1.313 1.522 0
0.708 -0.799 1
0.603 1.121 0
-0.179 0.993 0
-0.925 -0.913 0
-0.365 -0.107 1
0.989 -0.209 0
0.519 0.716 1
1.159 1.825 0
0.067 -0.835 0
0.289 -0.663 0
0.427 -0.833 1
1.305 0.365 1
-0.365 -0.798 1
1.687 -0.832 0
-0.048 1.642 1
-0.192 1.560 1
0.191 0.079 0
0.259 1.245 0
-0.943 1.661 1
0.188 0.150 1
0.476 0.425 1
1.633 0.755 0
-0.072 0.631 1
1.852 0.431 1
-0.215 0.092 0
0.661 -0.229 1
-0.362 -0.486 1
0.763 0.922 1
0.637 1.821 0
1.084 1.922 1
-0.183 1.495 0
1.106 -0.969 0
1.440 -0.092 1
1.199 0.062 1
0.318 1.650 1
1.955 0.719 1
0.156 0.871 0
-0.477 1.929 1
0.880 -0.393 0
0.940 -0.827 1
-0.029 1.118 0
-0.535 0.822 1
1.800 -0.781 0
-0.088 0.467 0
1.959 -0.388 0
0.987 -0.743 1
0.597 1.225 1
0.613 0.230 0
-0.250 0.539 0
0.274 1.643 0
-0.323 0.923 0
-0.661 1.313 1
0.194 -0.029 1
0.401 -0.057 1
1.005 -0.169 1
1.608 0.459 1
1.034 1.539 0
-0.003 0.342 0
-0.236 1.356 0
-0.173 0.962 1
0.566 1.095 0
1.914 0.913 1
1.030 -0.539 1
0.961 0.342 0
0.307 0.380 0
-0.107 1.287 0
-0.568 -0.668 0
-0.808 1.006 1
0.665 1.689 1
0.230 -0.685 0
-0.179 1.042 0
1.597 1.917 1
1.604 1.541 1
0.443 1.738 1
0.939 0.222 1
1.804 1.260 1
-0.692 1.344 1
-0.060 0.853 1
-0.919 -0.278 0
0.666 1.109 1
-0.149 -0.940 1
0.684 1.177 0
-0.233 -0.716 0
1.922 -0.906 0
1.864 0.875 1
0.861 0.119 0
1.403 -0.796 1
0.870 0.067 0
-0.802 1.863 1
-0.457 0.641 1
1.953 0.001 0
-0.972 -0.232 1
0.593 1.654 1
0.361 1.928 0
1.601 1.081 1
-0.197 0.493 1
0.347 1.099 0
-0.833 1.055 0
1.422 1.409 0
0.158 1.762 0
1.977 0.939 0
0.702 -0.349 1
1.046 -0.831 0
-0.721 1.982 0
1.891 -0.530 1
1.261 0.568 1
1.324 -0.566 0
0.239 -0.885 0
-0.949 1.211 0
0.363 0.547 1
-0.002 -0.164 1
1.669 -0.653 0
0.644 0.569 1
-0.584 -0.116 1
1.362 -0.775 0
0.419 0.751 0
-0.257 0.508 0
-0.618 -0.903 0
0.937 -0.657 1
-0.769 -0.042 1
-0.022 0.212 1
0.447 0.594 1
-0.872 -0.515 0
1.401 0.820 0
0.201 -0.245 1
0.685 0.339 0
1.900 -0.829 1
1.448 1.076 0
-0.848 0.768 1
-0.274 -0.485 1
-0.562 -0.193 0
1.778 -0.976 0
-0.872 0.102 1
1.421 0.197 0
0.815 -0.643 0
1.356 -0.818 1
-0.354 0.497 1
0.510 0.016 1
1.661 1.005 0
1.365 1.957 1
-0.884 -0.749 0
1.292 0.821 1
1.828 -0.173 1
0.881 1.312 1
1.499 -0.119 1
-0.717 1.356 0
1.056 1.450 1
0.533 -0.567 1
0.981 1.795 1
0.891 0.915 0
-0.357 0.728 1
-0.828 -0.607 0
1.636 0.956 0
0.080 -0.983 1
1.106 1.402 0
1.540 -0.177 0
0.093 1.548 0
-0.966 0.070 0
1.854 1.766 1
0.932 0.573 0
0.204 -0.352 0
0.827 -0.964 1
0.848 0.341 1
-0.132 1.385 1
-0.289 1.883 1
1.090 -0.899 1
-0.726 0.532 0
-0.246 -0.445 1
-0.091 1.105 0
-0.326 1.339 0
-0.793 -0.696 1
1.554 1.602 0
-0.684 -0.944 0
-0.681 -0.620 1
1.275 1.842 1
-0.548 0.933 0
1.341 1.032 1
0.323 0.075 1
1.331 -0.781 0
0.523 -0.490 0
-0.053 0.551 0
0.203 1.165 0
1.115 -0.935 0
1.397 1.520 1
0.317 -0.980 1
1.367 0.946 0
-0.076 1.232 1
-0.075 0.035 0
-0.472 0.403 1
-0.223 0.937 0
0.276 -0.540 1
-0.151 1.687 0
-0.793 1.885 1
-0.380 1.545 1
0.579 0.047 0
-0.537 -0.674 1
-0.793 1.540 0
-0.031 -0.266 1
1.796 0.511 0
0.288 0.694 1
-0.730 1.997 0
1.454 0.688 1
1.111 0.258 0
-0.271 -0.914 1
-0.310 1.108 0
-0.073 1.482 1
-0.401 1.252 0
0.751 0.022 1
0.986 -0.385 1
0.128 0.744 1
-0.111 1.678 1
-0.461 1.908 1
-0.433 1.813 0
1.354 1.328 1
-0.166 0.611 0
-0.834 -0.292 1
0.394 0.221 1
0.123 -0.027 0
0.174 1.679 1
1.262 -0.394 0
1.654 1.246 0
0.842 -0.023 1
-0.795 0.735 1
-0.321 -0.322 1
-0.580 1.851 1
1.475 1.857 1
1.446 -0.481 0
0.157 -0.449 1
0.321 1.222 1
-0.793 -0.979 1
1.305 0.328 1
-0.006 0.080 0
0.211 -0.568 0
1.112 -0.568 0
1.743 -0.319 1
-0.293 -0.997 0
0.828 1.111 0
0.819 1.275 0
1.947 1.983 0
1.705 0.617 0
1.471 0.112 1
-0.820 0.624 0
1.991 -0.800 0
1.949 0.442 0
1.656 -0.826 1
-0.063 1.109 0
0.504 0.515 1
1.625 1.883 0
-0.208 1.594 0
1.385 1.581 0
0.337 1.003 1
-0.192 1.905 0
-0.158 1.890 0
-0.958 0.782 0
1.233 0.293 1
0.126 -0.307 1
1.991 -0.529 1
-0.683 1.008 0
0.486 -0.762 0
1.432 1.320 1
1.312 -0.701 1
-0.827 1.777 1
1.616 1.578 0
-0.534 -0.584 0
0.436 -0.442 1
0.794 1.496 0
1.030 -0.391 0
-0.475 -0.167 1
0.214 -0.676 1
1.254 1.129 1
0.691 0.850 1
1.127 -0.688 1
1.387 -0.774 0
-0.817 0.861 0
1.784 -0.291 1
-0.320 1.148 0
-0.748 1.115 0
0.433 1.766 0
0.383 -0.853 0
-0.853 -0.138 1
1.326 0.732 0
1.746 0.473 0
0.118 1.351 0
-0.288 0.859 1
-0.982 0.375 1
0.416 0.834 1
-0.159 0.395 0
-0.550 0.103 1
1.290 -0.440 0
-0.038 0.591 1
1.292 0.908 0
0.990 1.779 1
1.327 -0.303 0
-0.207 1.039 0
